Image,Optimized image,Distorsion,Distorsion (%)
4.1.01.tiff,optimized_4.1.01.tiff,748469.4484820244,3.051775558923947
4.1.02.tiff,optimized_4.1.02.tiff,448730.4052764683,1.829633108133006
4.1.03.tiff,optimized_4.1.03.tiff,1651370.2370027683,6.733222495908632
4.1.04.tiff,optimized_4.1.04.tiff,1425194.6009306863,5.811024162244203
4.1.05.tiff,optimized_4.1.05.tiff,1672549.2347584732,6.819576785779045
4.1.06.tiff,optimized_4.1.06.tiff,1588171.143993647,6.475537365563556
4.1.07.tiff,optimized_4.1.07.tiff,1978488.6726385271,8.067000446059152
4.1.08.tiff,optimized_4.1.08.tiff,1881843.9099160698,7.672945451065615
4.2.01.tiff,optimized_4.2.01.tiff,5754328.134861295,5.8656094766504925
4.2.03.tiff,optimized_4.2.03.tiff,6158302.94686223,6.277396644512081
4.2.05.tiff,optimized_4.2.05.tiff,8503124.76618588,8.667564316938911
4.2.06.tiff,optimized_4.2.06.tiff,5957400.790468638,6.072609297526666
4.2.07.tiff,optimized_4.2.07.tiff,5716129.326237926,5.82667195195485
house.tiff,optimized_house.tiff,7347939.949300871,7.4900397040908135
