Image; brightness_0.5_boost_1.0; brightness_0.5_boost_1.1; brightness_0.5_boost_1.2; brightness_0.5_boost_1.3; brightness_0.5_boost_1.4; brightness_0.6_boost_1.0; brightness_0.6_boost_1.1; brightness_0.6_boost_1.2; brightness_0.6_boost_1.3; brightness_0.6_boost_1.4; brightness_0.7_boost_1.0; brightness_0.7_boost_1.1; brightness_0.7_boost_1.2; brightness_0.7_boost_1.3; brightness_0.7_boost_1.4; brightness_0.8_boost_1.0; brightness_0.8_boost_1.1; brightness_0.8_boost_1.2; brightness_0.8_boost_1.3; brightness_0.8_boost_1.4; Histogram Equalization; CLAHE
images\BSR\BSDS500\test\100007.jpg; 8.943250440152976; 8.694164726899754; 8.443579795016054; 8.195102220734235; 7.949166378952643; 7.099199199063366; 6.802742934396029; 6.511275692663558; 6.226204756199453; 5.948510528698305; 5.286666198140297; 4.952813744516729; 4.627988819156467; 4.313496297733575; 4.047579264648555; 3.5164009629796675; 3.151852661734404; 2.8113191352891898; 2.7807720168712753; 3.066430278621742; 5.859372541127481; 1.0799614796336099
images\BSR\BSDS500\test\100039.jpg; 7.5379535814270415; 6.841463510993054; 6.139995917433227; 5.458297762279638; 4.782138199382984; 6.005235935354372; 5.18356011372225; 4.378021709356799; 3.6029329199164475; 2.8358546731393415; 4.512399690628478; 3.5868715690138693; 2.703851300593128; 1.885378271258433; 1.2974455773808033; 3.065449043286297; 2.092964883857079; 1.2913205041382694; 1.195894663404159; 1.8231719713750265; 2.712328154782965; 1.9591975242531787
images\BSR\BSDS500\test\100099.jpg; 7.8127503627807515; 7.277600547477703; 6.73837122191369; 6.220165112436113; 5.706665713734137; 6.170665839010486; 5.55281023587436; 4.938114437424292; 4.339790631137699; 3.750018521197525; 4.60594216544778; 3.9014195122193804; 3.2199009612173577; 2.5598458969474667; 2.0178597387115587; 3.0708969044415193; 2.313654157071516; 1.6162010064875636; 1.5672235679648767; 2.2100318454202754; 3.2801659758618436; 1.255142577408648
images\BSR\BSDS500\test\10081.jpg; 8.087198845834195; 7.619039465201532; 7.154668062262372; 6.695359967580285; 6.242505812436534; 6.400201986333616; 5.853045940354233; 5.3110643859499795; 4.789576713837705; 4.2822261895927; 4.780975900098325; 4.165342647354878; 3.5758769639589905; 3.0081369613122457; 2.5447683020679315; 3.211004024969619; 2.545715806297673; 1.9502818180632735; 1.891518380917407; 2.4340795169185423; 3.92735234498117; 0.6793770189617941
images\BSR\BSDS500\test\101027.jpg; 5.6373395400634605; 5.378086639239832; 5.118962613807641; 4.8704245755842415; 4.618489796817659; 4.491468042372535; 4.190230343096461; 3.8965376955724973; 3.609969309389729; 3.3339108643583417; 3.387883020830839; 3.0482176331547315; 2.7286622976269266; 2.435730209004704; 2.239956464048201; 2.3051262238895984; 1.9544975115555456; 1.6771858697953588; 1.6396566378943156; 1.8156323354699255; 3.2036497124205283; 0.8085383807780695
images\BSR\BSDS500\test\101084.jpg; 7.585193959647889; 6.809038572821917; 6.026899139848271; 5.27961657745347; 4.537032028782695; 6.026724599856373; 5.122165742145745; 4.247833432878366; 3.388284225302967; 2.569349544986878; 4.536403994610908; 3.5235737430457976; 2.5737923770681554; 1.7025005291973303; 1.0894846542385996; 3.097458381762468; 2.0579103308794053; 1.221322404929006; 1.091303192405189; 1.6468773456072905; 2.4132683002698747; 1.0264809037404665
images\BSR\BSDS500\test\102062.jpg; 6.818335968145115; 6.157434442161127; 5.490043960777958; 4.852148628882125; 4.218366293591343; 5.437842398235283; 4.674596440727612; 3.9183022274868593; 3.2030541694166947; 2.5168373819100096; 4.116948765164573; 3.2629479315806287; 2.46994590770822; 1.7646854448221843; 1.3207363352793695; 2.8591148195600957; 1.99989879740294; 1.3593070467034514; 1.2817114824848157; 1.7533465551922878; 3.0414004002896213; 2.0787932916576386
images\BSR\BSDS500\test\103006.jpg; 7.343788376841342; 6.593241308461789; 5.848421478161487; 5.115360783200409; 4.392867607069025; 5.8402741887501515; 4.966319448902342; 4.095678906394499; 3.261255742886213; 2.4388660975320526; 4.376421793691144; 3.390759204769705; 2.432849929835685; 1.547630944261686; 0.9012985087896851; 2.9575258099051256; 1.9068038350104555; 1.027339232665808; 0.9217034992802726; 1.4975686244257962; 1.8609031771166382; 1.9871652955059553
images\BSR\BSDS500\test\103029.jpg; 5.14590740163685; 4.689005462673865; 4.233189893083165; 3.7859167287419844; 3.336223202502956; 4.106975871188934; 3.57311373834587; 3.0323219736043634; 2.5285795894843255; 2.023507631456268; 3.0849028051576246; 2.4834373399258736; 1.899980139542851; 1.3515670025744286; 0.9303845250899621; 2.09824270052805; 1.4548861587666704; 0.8914180994903033; 0.8217037910586049; 1.3193566073083702; 5.51647505747587; 2.3855110873221914
images\BSR\BSDS500\test\103078.jpg; 7.345052652938189; 6.915538368366541; 6.485833343244344; 6.072810923095238; 5.659963646613033; 5.830639219939257; 5.339112849344439; 4.84791651175704; 4.3721097135212705; 3.910605044677356; 4.371351928881555; 3.809875269831977; 3.2748991527093403; 2.779706396765014; 2.4135337753989847; 2.944938402824072; 2.3612365306655296; 1.8721800247567415; 1.775280938904667; 2.0847378653120274; 2.03930749339401; 1.730860819511431
