Image; Original Power; brightness_0.5_boost_1.0; brightness_0.5_boost_1.1; brightness_0.5_boost_1.2; brightness_0.5_boost_1.3; brightness_0.5_boost_1.4; brightness_0.6_boost_1.0; brightness_0.6_boost_1.1; brightness_0.6_boost_1.2; brightness_0.6_boost_1.3; brightness_0.6_boost_1.4; brightness_0.7_boost_1.0; brightness_0.7_boost_1.1; brightness_0.7_boost_1.2; brightness_0.7_boost_1.3; brightness_0.7_boost_1.4; brightness_0.8_boost_1.0; brightness_0.8_boost_1.1; brightness_0.8_boost_1.2; brightness_0.8_boost_1.3; brightness_0.8_boost_1.4; Histogram Equalization; CLAHE
images\BSR\BSDS500\test\100007.jpg; 5.016254929773365; 2.9215501943437405; 2.9807096885853523; 3.0400008554828153; 3.098190922435307; 3.1552427915847736; 3.3628366627526454; 3.4324054415285747; 3.5007421718889886; 3.567778318885839; 3.6336012803639792; 3.791417543910161; 3.8700283233102595; 3.9468810080015957; 4.0224858733287; 4.096494254349421; 4.208988868584286; 4.295537338223394; 4.380897416824914; 4.464331110613245; 4.541236864216154; 3.677325102295074; 4.790127849722382
images\BSR\BSDS500\test\100039.jpg; 3.8442030252891013; 2.235288084234674; 2.387652920264399; 2.539804066024286; 2.6887152206642417; 2.8350399167813323; 2.5733614149938266; 2.751777613122431; 2.9266012906263335; 3.0984512370685895; 3.2677461462076356; 2.9014466741029703; 3.103219966687287; 3.300443937429762; 3.4944292048835197; 3.684148787769586; 3.2227107804843405; 3.4442888922797414; 3.6628004156358682; 3.8675665035229514; 4.052196307536584; 3.5241325087459976; 3.4824662322704993
images\BSR\BSDS500\test\100099.jpg; 3.823399146480238; 2.2225922928121746; 2.331044535454587; 2.4395267146216626; 2.5461689148721605; 2.6505050206507312; 2.559105820537206; 2.68659002292201; 2.8115912988263263; 2.9342999635136846; 3.0548583671487384; 2.885865177197022; 3.029812384511457; 3.1704454997723417; 3.3088371007992774; 3.444646030223604; 3.2049275323672326; 3.3630530876478084; 3.519119581865416; 3.6727263574659332; 3.8230492629227975; 3.2473868663125667; 3.632293775373541
images\BSR\BSDS500\test\10081.jpg; 4.299610963244607; 2.5022747483097603; 2.6049441143114014; 2.7080572440606443; 2.8093033269778767; 2.9083873990045626; 2.880130083471735; 3.0009677356413236; 3.119807362989384; 3.236446176157246; 3.3508780414606716; 3.2475091505251057; 3.384147292119147; 3.517753647129512; 3.649232208811; 3.7778745647891347; 3.6058281891865525; 3.756078158269168; 3.904196347973793; 4.049983808458943; 4.191563421996475; 3.561721339198734; 4.22021687179241
images\BSR\BSDS500\test\101027.jpg; 2.588939326387946; 1.4977186344795639; 1.5549325455498126; 1.6121883068505531; 1.6681730479102512; 1.7232282616705021; 1.725279409268827; 1.7923403193358014; 1.858143285730122; 1.9227954439693873; 1.9864524128503627; 1.9466667766543844; 2.0225474781453094; 2.0967387630850367; 2.169716283221614; 2.2410250965824074; 2.162882442659575; 2.246238941189807; 2.3284222694796224; 2.4032686620338373; 2.4651203617227493; 3.0439149622250086; 2.5359416796605645
images\BSR\BSDS500\test\101084.jpg; 2.9103391541480987; 1.6877304535684603; 1.815167052713899; 1.9433086982264465; 2.068394697463639; 2.1915261707320677; 1.943361519681075; 2.0929815608850473; 2.2405407823398305; 2.3850893131839057; 2.527515840039069; 2.1916329432935204; 2.3614924534488644; 2.5273216916592802; 2.690661201664217; 2.8494957361470687; 2.4354853491486232; 2.6214248483242284; 2.804963785078428; 2.9730663654898772; 3.1136557338396935; 3.036469333644087; 2.877259173972497
images\BSR\BSDS500\test\102062.jpg; 3.219935045305203; 1.8698012240097448; 2.0042862333385263; 2.139585294344754; 2.2720679794293517; 2.4020222144321837; 2.1523600264423646; 2.3109419898749084; 2.4665188627786336; 2.6192606753854664; 2.769632090214688; 2.4272074397977437; 2.606539068637695; 2.7818317717506593; 2.954251075375288; 3.123235530426561; 2.6968426803096475; 2.89343262281757; 3.0878205052439394; 3.270101790806925; 3.4331115624641884; 3.3779088018722483; 2.8893749829461486
images\BSR\BSDS500\test\103006.jpg; 3.897619215639891; 2.2670205328266375; 2.43676910802655; 2.6071732713785716; 2.773999605628528; 2.9378502687699357; 2.609232261418934; 2.808858205156067; 3.0049842579785055; 3.1974252711555398; 3.386811667701456; 2.941906108715689; 3.1677268511517456; 3.3886096270538895; 3.6058628776515858; 3.818145818483162; 3.2675704848683345; 3.5156858695998046; 3.7606069304863468; 3.9835749914276595; 4.161481998995643; 3.5319902984543443; 3.5197297614161904
images\BSR\BSDS500\test\103029.jpg; 2.471558131346619; 1.4318755189791976; 1.5226528495424576; 1.6147740894780256; 1.7050648425629995; 1.7934869535541336; 1.6476276201440132; 1.7553370738420209; 1.861676524299671; 1.9656742905422302; 2.067983576780722; 1.858619937402992; 1.980614924344406; 2.0999807769388483; 2.217346814490577; 2.3319145576911993; 2.0665115383290362; 2.2000862154633785; 2.332382845317441; 2.461971602640547; 2.5872300423160137; 3.3030540830670803; 1.9902603016541178
images\BSR\BSDS500\test\103078.jpg; 3.7014526335038367; 2.151572476530981; 2.236764704899609; 2.322179530146891; 2.405020751765043; 2.4871648829867086; 2.477275536999065; 2.576809980054593; 2.6747001575645424; 2.7707902315890487; 2.8660988169587966; 2.7929361805408934; 2.905983405542057; 3.0166423925655472; 3.1254281620094404; 3.230775996121574; 3.1025947930850606; 3.226165360608753; 3.3482921412244395; 3.4543970069702046; 3.540623005590003; 3.515218945439799; 3.3818002053645504
