%time soc i_tot i_mcu i_rf i_pv v_pv real_i_pv i_batt v_batt i_air_quality_sensor i_methane_sensor i_temperature_sensor i_mic_click_sensor
0 0 66.653 0.002 0.001 0 0 0 0 4.57 48.2 18 0.3 0.15
1 1 66.653 0.002 0.001 0 0 0 52.7495131132 4.57194625574 48.2 18 0.3 0.15
2 0.999997710525 66.653 0.002 0.001 0 0 0 52.7270578968 4.5719132843 48.2 18 0.3 0.15
3 0.999993132548 66.653 0.002 0.001 0 0 0 52.7274381505 4.57188107881 48.2 18 0.3 0.15
4 0.99998855553 66.653 0.002 0.001 0 0 0 52.727809576 4.57184887428 48.2 18 0.3 0.15
5 0.99998397848 66.653 0.002 0.001 0 0 0 52.7281809956 4.571816671 48.2 18 0.3 0.15
6 0.999979401397 66.355 0.002 0.001 0 0 0 52.7285524061 4.57178446896 48.2 18 0.002 0.15
7 0.999974824282 66.355 0.002 0.001 0 0 0 52.4953838086 4.57174365589 48.2 18 0.002 0.15
8 0.99997025727 66.355 0.002 0.001 0 0 0 52.4958524477 4.57171160301 48.2 18 0.002 0.15
9 0.999965700359 66.355 0.002 0.001 0 0 0 52.4962205031 4.571679548 48.2 18 0.002 0.15
10 0.999961143412 66.355 0.002 0.001 0 0 0 52.4965885882 4.57164749422 48.2 18 0.002 0.15
11 0.999956586432 66.355 0.002 0.001 0 0 0 52.4969566642 4.57161544169 48.2 18 0.002 0.15
12 0.999952029421 66.207 0.002 0.001 0 0 0 52.4973247311 4.57158339039 48.2 18 0.002 0.002
13 0.999947472377 66.207 0.002 0.001 0 0 0 52.3816940817 4.57154706503 48.2 18 0.002 0.002
14 0.999942920336 66.207 0.002 0.001 0 0 0 52.3821103049 4.57151508902 48.2 18 0.002 0.002
15 0.999938373296 66.207 0.002 0.001 0 0 0 52.3824766978 4.57148311258 48.2 18 0.002 0.002
16 0.999933826222 66.207 0.002 0.001 0 0 0 52.3828431009 4.57145113737 48.2 18 0.002 0.002
17 0.999929279116 66.207 0.002 0.001 0 0 0 52.3832094949 4.57141916339 48.2 18 0.002 0.002
18 0.999924731978 66.207 0.002 0.001 0 0 0 52.38357588 4.57138719064 48.2 18 0.002 0.002
19 0.999920184809 66.207 0.002 0.001 0 0 0 52.383942256 4.57135521913 48.2 18 0.002 0.002
20 0.999915637608 66.207 0.002 0.001 0 0 0 52.3843086231 4.57132324884 48.2 18 0.002 0.002
21 0.999911090375 66.207 0.002 0.001 0 0 0 52.3846749812 4.57129127979 48.2 18 0.002 0.002
22 0.99990654311 66.207 0.002 0.001 0 0 0 52.3850413303 4.57125931196 48.2 18 0.002 0.002
23 0.999901995813 66.207 0.002 0.001 0 0 0 52.3854076705 4.57122734537 48.2 18 0.002 0.002
24 0.999897448484 66.207 0.002 0.001 0 0 0 52.3857740017 4.57119538 48.2 18 0.002 0.002
25 0.999892901124 66.207 0.002 0.001 0 0 0 52.3861403238 4.57116341587 48.2 18 0.002 0.002
26 0.999888353732 66.207 0.002 0.001 0 0 0 52.386506637 4.57113145297 48.2 18 0.002 0.002
27 0.999883806308 66.207 0.002 0.001 0 0 0 52.3868729413 4.5710994913 48.2 18 0.002 0.002
28 0.999879258852 66.207 0.002 0.001 0 0 0 52.3872392365 4.57106753086 48.2 18 0.002 0.002
29 0.999874711365 66.207 0.002 0.001 0 0 0 52.3876055228 4.57103557165 48.2 18 0.002 0.002
30 0.999870163846 0.011 0.002 0.001 0 0 0 52.3879718 4.57100361367 0.002 0.002 0.002 0.002
31 0.999865616294 13.009 13 0.001 0 0 0 0.0259351243757 4.5690450051 0.002 0.002 0.002 0.002
32 0.999863341385 13.009 13 0.001 0 0 0 10.3014093933 4.56942305316 0.002 0.002 0.002 0.002
33 0.99986289315 13.009 13 0.001 0 0 0 10.3005571133 4.56941676737 0.002 0.002 0.002 0.002
34 0.999861998967 13.009 13 0.001 0 0 0 10.300571283 4.56941051054 0.002 0.002 0.002 0.002
35 0.999861104821 13.009 13 0.001 0 0 0 10.3005853874 4.56940425376 0.002 0.002 0.002 0.002
36 0.999860210674 13.009 13 0.001 0 0 0 10.3005994917 4.56939799702 0.002 0.002 0.002 0.002
37 0.999859316525 0.011 0.002 0.001 0 0 0 10.300613596 4.56939174034 0.002 0.002 0.002 0.002
38 0.999858422375 0.11 0.002 0.1 0 0 0 0.0259442731065 4.56900748712 0.002 0.002 0.002 0.002
39 0.999857974174 0.11 0.002 0.1 0 0 0 0.10447237994 4.56901036032 0.002 0.002 0.002 0.002
40 0.999857968513 0.11 0.002 0.1 0 0 0 0.104472314243 4.56901029693 0.002 0.002 0.002 0.002
41 0.999857959445 0.11 0.002 0.1 0 0 0 0.104472315692 4.56901023354 0.002 0.002 0.002 0.002
42 0.999857950376 0.11 0.002 0.1 0 0 0 0.104472317142 4.56901017015 0.002 0.002 0.002 0.002
43 0.999857941307 0.11 0.002 0.1 0 0 0 0.104472318591 4.56901010675 0.002 0.002 0.002 0.002
44 0.999857932238 0.11 0.002 0.1 0 0 0 0.104472320041 4.56901004336 0.002 0.002 0.002 0.002
45 0.99985792317 0.11 0.002 0.1 0 0 0 0.10447232149 4.56900997997 0.002 0.002 0.002 0.002
46 0.999857914101 0.11 0.002 0.1 0 0 0 0.10447232294 4.56900991658 0.002 0.002 0.002 0.002
47 0.999857905032 0.11 0.002 0.1 0 0 0 0.104472324389 4.56900985319 0.002 0.002 0.002 0.002
48 0.999857895963 0.11 0.002 0.1 0 0 0 0.104472325839 4.56900978979 0.002 0.002 0.002 0.002
49 0.999857886894 0.11 0.002 0.1 0 0 0 0.104472327288 4.5690097264 0.002 0.002 0.002 0.002
50 0.999857877826 0.11 0.002 0.1 0 0 0 0.104472328738 4.56900966301 0.002 0.002 0.002 0.002
51 0.999857868757 0.11 0.002 0.1 0 0 0 0.104472330187 4.56900959962 0.002 0.002 0.002 0.002
52 0.999857859688 0.11 0.002 0.1 0 0 0 0.104472331637 4.56900953623 0.002 0.002 0.002 0.002
53 0.999857850619 0.11 0.002 0.1 0 0 0 0.104472333086 4.56900947283 0.002 0.002 0.002 0.002
54 0.999857841551 0.11 0.002 0.1 0 0 0 0.104472334536 4.56900940944 0.002 0.002 0.002 0.002
55 0.999857832482 0.11 0.002 0.1 0 0 0 0.104472335985 4.56900934605 0.002 0.002 0.002 0.002
56 0.999857823413 0.11 0.002 0.1 0 0 0 0.104472337435 4.56900928266 0.002 0.002 0.002 0.002
57 0.999857814344 0.11 0.002 0.1 0 0 0 0.104472338884 4.56900921927 0.002 0.002 0.002 0.002
58 0.999857805275 0.11 0.002 0.1 0 0 0 0.104472340334 4.56900915587 0.002 0.002 0.002 0.002
59 0.999857796207 0.11 0.002 0.1 0 0 0 0.104472341783 4.56900909248 0.002 0.002 0.002 0.002
60 0.999857787138 0.11 0.002 0.1 0 0 0 0.104472343232 4.56900902909 0.002 0.002 0.002 0.002
61 0.999857778069 0.11 0.002 0.1 0 0 0 0.104472344682 4.5690089657 0.002 0.002 0.002 0.002
62 0.999857769 0.011 0.002 0.001 0 0 0 0.104472346131 4.56900890231 0.002 0.002 0.002 0.002
